Time,Substream_ID,<ticker>,<vol>,<close>,Critical
35340,48,MRVL,72331,20.06,False
35341,48,MSCC,4100,22.99,False
35342,48,MSFG,300,9.52,False
35343,48,MSFT,510181,26.01,True
35344,49,AAON,691,26.75,False
35345,49,AAPL,75757,317.0,False
35346,49,AAWW,9053,55.25,False
35347,49,AAXJ,1400,62.47,False
35348,49,ABAX,700,27.77,False
35349,49,ABCB,1200,9.89,False
35350,49,ABCD,5600,3.0,False
35351,49,ABCO,600,48.72,False
35352,49,ABIO,100,3.69,False
35353,49,ABMD,900,11.77,False
35354,49,ABTL,400,0.74,False
35355,49,ACAS,6371,7.3675,False
35356,49,ACAT,1300,15.11,False
35357,49,ACET,120,7.6629,False
35358,49,ACFC,300,1.66,False
35359,49,ACFN,513,4.03,False
35360,49,ACGL,1200,90.7,False
35361,49,ACIW,3800,26.54,False
35362,49,ACLS,5600,2.57,False
35363,49,ACOR,2900,26.32,False
35364,49,ACPW,100,2.14,False
35365,49,ACTG,800,28.12,False
35366,49,ACTS,2862,2.09,False
35367,49,ACWI,791,44.98,False
35368,49,ACXM,7430,17.75,False
35369,49,ADAT,1200,0.6033,False
35370,49,ADBE,107077,28.3,False
35371,49,ADEP,100,4.57,False
35372,49,ADP,20641,46.11,False
35373,49,ADRE,500,46.0106,False
35374,49,ADSK,59307,36.67,False
35375,49,ADTN,31550,32.31,False
35376,49,ADVS,300,52.37,False
35377,49,AEGR,300,10.3,False
35378,49,AEHR,100,0.9489,False
35379,49,AEIS,1881,12.04,False
35380,49,AEPI,100,24.87,False
35381,49,AEZS,1600,1.4201,False
35382,49,AFAM,200,36.02,False
35383,49,AFFX,1100,4.23,False
35384,49,AFSI,1100,16.32,False
35385,49,AGEN,800,0.8981,False
35386,49,AGII,300,37.7,False
35387,49,AGNC,6518,29.4199,False
35388,49,AGYS,752,5.07,False
35389,49,AHGP,220,46.13,False
35390,49,AIMC,1900,17.62,False
35391,49,AINV,3500,10.84,False
35392,49,AIRM,900,49.755,False
35393,49,AIXG,500,31.27,False
35394,49,AKAM,36315,53.34,False
35395,49,AKRX,9500,5.22,False
35396,49,ALGN,2522,17.9,False
35397,49,ALGT,2100,52.0,False
35398,49,ALIM,400,11.83,False
35399,49,ALKS,4547,10.69,False
35400,49,ALLT,100,8.69,False
35401,49,ALNY,400,9.37,False
35402,49,ALOG,700,46.9,False
35403,49,ALSK,4647,10.66,False
35404,49,ALTR,84947,36.84,False
35405,49,ALXN,9530,76.05,False
35406,49,AMAG,2400,15.78,False
35407,49,AMAT,67212,12.75,False
35408,49,AMCC,5809,9.55,False
35409,49,AMCF,100,5.44,False
35410,49,AMCN,4150,7.28,False
35411,49,AMED,600,28.99,False
35412,49,AMGN,17425,53.46,False
35413,49,AMKR,16676,7.08,False
35414,49,AMRI,500,5.05,False
35415,49,AMRN,256933,5.61,False
35416,49,AMRS,600,20.75,False
35417,49,AMSC,2200,33.8265,False
35418,49,AMSF,1400,18.73,False
35419,49,AMSG,4600,18.78,False
35420,49,AMWD,200,20.94,False
35421,49,AMZN,53513,178.19,False
